# 
# 04/29/2024 08:35:00
# The parameters defined in the project are:
# ,P1 - P3@DS_FLAP_HEIGHT,P2 - P3@DS_LO_RIB_WIDTH1,P3 - P3@DS_LO_RIB_WIDTH2,P4 - P3@DS_LO_RIB_WIDTH3,P5 - P3@DS_LA_RIB_WIDTH1,P8 - Equivalent Stress Maximum [Pa],P9 - Equivalent Elastic Strain Maximum [m m^-1]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P8,P9
DP 0,2,2,2,2,2,270747930.404674,0.00382397708017379
DP 1,2.5547,2.8173,3.2129,2.6739,2.7582,179795078.92643052,0.0025366822124591897
DP 2,2.1302,2.0419,2.4873,2.3497,2.5437,234863482.65558752,0.0033198527526110411
DP 3,3.2813,1.8541,2.3131,3.164,2.2419,160093067.5533314,0.0022626962745562196
DP 4,2.39,2.3431,2.2839,2.9412,3.6621,205397998.70827881,0.00290219159796834
DP 5,2.5124,2.848,3.2565,2.4744,2.6627,178951802.44373286,0.002526935888454318
DP 6,2.0705,2.2136,1.9001,1.8523,3.2972,268683748.87442535,0.0037977215833961964
DP 7,2.933,1.962,1.3442,2.8706,3.0904,205103114.41947281,0.0029002352384850383
DP 8,2.2528,1.676,2.428,2.052,2.2746,236142752.06621215,0.003332386288093403
DP 9,2.8198,2.7398,2.7378,3.3815,2.7057,164343398.37543312,0.0023202354046092792
DP 10,2.0215,1.4977,2.3991,2.1357,2.5176,259891115.2864852,0.0036635716844882283
DP 11,2.7256,2.8716,2.7411,2.1078,2.3143,187302034.85942018,0.0026448546850588173
DP 12,2.7867,2.1509,2.1218,1.946,2.856,209184404.4304601,0.0029544704593718052
DP 13,2.2079,2.8954,3.3553,1.983,2.3419,197825243.868518,0.0027939266059547664
DP 14,1.3532,3.5338,2.833,2.4193,2.7976,200021160.7447972,0.0028201048262417316
DP 15,2.3581,3.1681,1.8347,2.0406,1.9478,220530440.80907741,0.0031074156053364278
DP 16,2.5691,2.2951,3.8807,2.4574,2.1404,174896429.48834753,0.0024689542063112769
DP 17,2.4254,2.4804,3.1138,2.2838,1.9354,201998741.74463168,0.0028499776381067932
DP 18,2.1826,3.0135,2.2939,2.151,2.5717,223463522.53452066,0.0031586630502715707
DP 19,3.1455,2.2063,2.6329,2.2159,2.0915,169643367.43311977,0.00239854719903734
DP 20,2.4953,2.3666,3.0936,2.972,1.6325,187590309.56460029,0.0026512073236517608
DP 21,2.7599,2.0909,2.356,2.5068,2.6872,196057901.68063471,0.0027698540128767491
DP 22,2.4565,2.1781,2.4564,3.0365,2.7235,200348614.53585827,0.0028289506278399911
DP 23,1.9281,2.4647,2.7661,2.2545,2.5965,228341705.97779503,0.0032229232989872494
DP 24,2.9601,3.9284,2.0279,2.5308,2.076,167532657.896848,0.002365428430493921
DP 25,1.8521,2.9558,2.5497,1.7578,2.0399,226381832.79495221,0.0031909719691611826
DP 26,2.3111,3.0252,1.5448,1.6659,1.7011,260264287.1607995,0.0036727380938827991
DP 27,1.7005,1.2289,2.9153,2.7625,2.6116,243462034.363606,0.0034332162079711757
DP 28,3.937,1.7846,1.775,3.2019,2.4848,123329765.57987897,0.0017434596472109358
DP 29,3.4793,2.5958,2.6932,1.684,2.4774,151648396.0331634,0.0021436568931676447
DP 30,3.0741,2.582,3.1786,2.5576,1.8786,162013764.14812055,0.0022900814074091613
DP 31,2.9968,3.0593,2.2517,2.1843,2.7746,178774722.12115261,0.0025261057890020311
DP 32,2.6374,2.2753,2.3435,1.4742,2.366,224935238.14039505,0.00317656688275747
DP 33,2.4023,2.5321,2.7873,2.7995,3.3713,190347247.60077783,0.0026882607489824295
DP 34,2.3363,2.555,2.2287,2.8531,1.9842,213383879.13624871,0.0030102402088232338
DP 35,1.7859,2.6397,2.3938,2.6031,1.8216,229677754.43867972,0.0032422148215118796
DP 36,3.136,2.8037,2.0105,1.8933,3.4799,178261425.21585891,0.0025191983440890908
DP 37,2.6802,2.4024,2.9225,2.6566,1.3604,185600097.98287997,0.0026212595015143356
DP 38,2.2169,3.2223,2.5066,2.2061,2.1799,211154723.78257161,0.0029820014897268265
DP 39,2.9193,1.9401,2.1595,1.0719,2.1292,228625651.879152,0.0032261748694711262
DP 40,1.6703,3.2983,1.9805,2.6064,2.8317,234404682.7585949,0.0033050927291200919
DP 41,2.2733,2.7299,2.202,1.9167,3.1896,229678481.95293885,0.0032437798605921366
DP 42,1.5072,2.7109,2.6787,2.6375,2.9855,215479057.74923331,0.0030412281048484147
DP 43,2.7823,2.6096,2.4613,3.579,2.8969,168318387.24562046,0.0023775517940521238
DP 44,2.2966,2.1277,2.1022,2.99,3.1367,215218589.44356367,0.0030360364887331215
DP 45,3.3306,2.9342,1.6842,2.3274,2.3029,155301685.53263965,0.0021889015721778073
DP 46,3.0219,2.4423,2.1779,2.4926,2.529,181765759.50777805,0.0025646412395872176
DP 47,1.9649,2.7777,2.572,2.4088,2.3979,216039140.65539753,0.0030468751210719347
DP 48,2.1528,1.6953,1.6345,2.9101,2.2136,252234332.60379872,0.0035599973052740097
DP 49,2.0822,2.4242,3.4538,3.0611,3.0199,187669759.53948236,0.0026522968546487391
DP 50,2.6955,2.6591,2.523,3.4363,2.4557,177946336.3958455,0.0025136249023489654
DP 51,2.8428,2.0628,2.8828,2.7606,2.3817,171775010.52043679,0.0024245458655059336
DP 52,3.2313,3.1156,2.0681,2.833,2.4187,156688526.13334498,0.0022139689419418572
DP 53,1.8775,2.5058,3.0111,2.2954,2.8816,220489296.07024974,0.0031135328269253173
DP 54,2.6035,2.6709,3.0451,2.7275,1.7834,180422788.25988343,0.0025472158740740269
DP 55,2.5388,1.9999,2.5904,3.132,2.1918,187205758.86862624,0.0026401904760859907
DP 56,2.6187,2.3924,2.6235,3.2572,2.9711,179233784.65714473,0.0025284819171897004
DP 57,2.8642,3.3373,2.6584,2.3842,1.4889,179627410.80243996,0.0025363046276782241
DP 58,2.6527,1.8804,2.9714,2.37,2.6367,196686365.88478574,0.0027740237502647297
DP 59,1.9896,2.255,1.9365,2.5643,2.9319,250133412.21531513,0.0035287337959744036
DP 60,2.4683,2.3282,2.8568,2.6975,3.2159,189767021.03004593,0.0026760073378682137
DP 61,1.8521,1.886,2.6078,1.9376,2.9437,240665445.98217455,0.0033927063923329115
DP 62,1.9262,2.74,1.7257,2.0487,1.9789,268140574.0385409,0.0037846280611120164
DP 63,1.8246,1.7338,2.0916,2.5731,2.8518,258402613.64007404,0.0036506759934127331
DP 64,1.8839,2.35,1.6448,2.8537,2.4444,255001876.54080242,0.003597465343773365
DP 65,2.0938,2.3981,1.935,1.4906,2.6117,270392508.874014,0.0038122957921586931
DP 66,1.7765,1.8326,2.1585,2.4408,1.8996,264934347.84223872,0.0037447166978381574
DP 67,1.9177,2.66,1.7223,2.1503,3.0561,255129840.81713361,0.0036005569466700158
DP 68,1.9132,1.9401,2.7856,1.792,2.105,241051931.02466807,0.0033989152871072292
DP 69,1.6599,2.3311,2.176,2.2456,2.4756,254913056.76905546,0.0035942064132541418
DP 70,2.2297,1.914,1.5632,2.0826,2.3626,271288474.33906412,0.0038321509200613946
DP 71,2.2997,2.2742,1.7466,2.4437,1.6432,249261176.819301,0.0035176631063222885
DP 72,1.9788,1.995,2.4412,2.2785,2.1063,244837153.0617879,0.0034553103281983306
DP 73,1.7678,1.8994,2.1129,2.852,2.3553,245620777.57490408,0.0034685225691646338
DP 74,2.0683,1.4778,2.612,1.8551,2.4924,257327908.42704177,0.0036304671375546604
DP 75,1.8207,2.5838,2.3324,1.6982,1.8862,260528096.71134055,0.0036791921981299915
DP 76,1.9891,1.823,2.1416,2.4523,2.9948,253422978.48800322,0.0035814126022160053
DP 77,1.4487,2.3523,2.3546,2.1552,1.8543,254734022.25013462,0.0035918467212468384
DP 78,2.3997,1.7293,1.2677,1.6272,2.9363,282711047.73007053,0.0039839424813787145
DP 79,2.1546,1.9287,2.3608,1.7208,2.466,255916477.2946561,0.0036094620358198882
DP 80,1.9195,2.5931,1.871,1.7619,3.7525,268882399.47356105,0.0037997284671291709
DP 81,2.1133,2.4164,1.1368,2.614,2.5787,270569368.37238067,0.0038158875890076161
DP 82,1.9047,2.2997,2.054,2.7891,1.777,238473271.15725839,0.0033656131875302109
DP 83,2.0333,2.5657,2.307,1.8222,2.3837,254150130.3635686,0.0035875846432255848
DP 84,2.1943,2.061,1.8613,2.4377,2.2949,242732829.76562989,0.003423057496547699
DP 85,1.943,2.3113,2.5967,1.7574,2.327,246300855.88253888,0.0034780118614435194
DP 86,2.0428,2.2431,2.2808,2.1133,2.3965,247889926.13052487,0.0034985451234711539
DP 87,1.7066,1.9489,1.3285,1.9747,2.1512,326656986.20531064,0.0046134947333484888
DP 88,1.5109,2.1348,2.4728,2.2848,1.6185,254732038.41014072,0.0035934371408075094
DP 89,2.1833,1.3683,2.4343,1.3247,0.8121,296262374.55785012,0.0041775283869355919
DP 90,2.1837,2.5861,2.1521,1.9751,2.0679,239853260.04220352,0.0033859693794511259
DP 91,1.3072,2.8874,2.0994,1.1685,2.586,300539758.77375329,0.0042388907168060541
DP 92,2.0268,2.07,2.5122,1.9228,2.0002,249667343.21586958,0.0035235712171665262
DP 93,2.3654,2.5479,1.6766,1.9484,1.9718,252433679.17854089,0.0035671774297952653
DP 94,1.5616,2.9513,1.7226,2.445,2.6301,256893564.5954299,0.0036299933562986553
DP 95,2.0659,2.2108,1.794,2.7502,1.5119,250171306.4626101,0.0035358050372451544
DP 96,1.7871,2.0723,2.6753999999999998,2.5055,1.3694,238832343.00422239,0.0033717291533119148
DP 97,2.2749,3.1116,2.1481,1.3229,2.2426,247990217.24889758,0.0035036013461649416
DP 98,2.1821,3.0845,2.1226,1.4393,2.8956,247812303.6872825,0.0034979830629059245
DP 99,1.9539,1.8588,1.8945,2.8769,1.8961,252918021.4536505,0.0035707618808373809
DP 100,2.3572,1.9256,1.7337,1.775,2.2576,278640494.68257636,0.0039310958624506993
